GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET3001,ET3002,ET3003,ET3004,ET3005,ET3006,ET3007,ET3008,ET3009,ET3010,ET3011,ET3012,ET3013,ET3014,ET3015,ET3016,ET3017,ET3018,ET3019,ET3020,ET3021,ET3022,ET3023,ET3024,ET3025,ET3026,ET3027,ET3028,ET3029,ET3030,ET3031
GIS Join Match Code,Data File Year,State/US Abbreviation,Alaska Native Regional Corporation Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Reservation [excluding trust lands] Code,American Indian Reservation [trust lands only] Code,American Indian/Alaska Native Area Class Code,Reservation/Trust Lands Code,Block Code,Block Group Code,Census Tract Code,Congressional District (101st) Code,Consolidated City Code,Consolidated Metropolitan Statistical Area,County Name,County Code,County Subdivision Code,County Subdivision Class Code,Division Code,Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area Code,Place Code,Place Class Code,Place Description Code,Primary Metropolitan Statistical Area Code,Region Code,State Name,State Code,Urban/Rural Code,Urban Area Code,Congressional District (103rd) Code,Area (land),Area (Water),Area Name/PSAD Term/Part Indicator,Functional Status Code,Internal Point (latitude),Internal Point (longitude),Political/Statistical Area Description Code,Under 1 year,1 and 2 years,3 and 4 years,5 years,6 years,7 to 9 years,10 and 11 years,12 and 13 years,14 years,15 years,16 years,17 years,18 years,19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"G4803530","1990","TX",,,,,,,,,,,,"99","Nolan","353",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002362246","0000005038","Nolan County","A","+32308326","-100398609","06",206,509,517,241,269,805,514,568,237,248,252,252,247,246,233,187,580,1110,1215,1175,1048,849,799,763,318,464,753,655,562,440,332
"G4803550","1990","TX",,,,,,,,,,,,"99","Nueces","355",,,"7","1880",,,,"9999","3","Texas","48",,,,"0002164957","0000856476","Nueces County","A","+27736587","-097521053","06",4031,10122,9890,5041,5047,15750,10260,9710,4789,4696,4600,4888,4587,4560,4097,3800,12063,24867,25671,23415,19634,15031,11994,11696,4668,6816,10721,7158,5635,3444,2464
"G4803570","1990","TX",,,,,,,,,,,,"99","Ochiltree","357",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002376653","0000001332","Ochiltree County","A","+36278773","-100814586","06",130,320,307,173,188,526,323,322,130,152,136,115,119,99,89,92,330,747,868,702,593,464,398,427,141,242,336,252,203,131,73
"G4803590","1990","TX",,,,,,,,,,,,"99","Oldham","359",,,"7","9999",,,,"9999","3","Texas","48",,,,"0003886922","0000002037","Oldham County","A","+35399278","-102595807","06",23,54,59,25,36,123,108,142,86,102,88,94,44,14,23,11,38,122,163,139,147,94,110,111,33,49,73,68,53,37,9
"G4803610","1990","TX",,,,,,,,,,,,"99","Orange","361",,,"7","0840",,,,"9999","3","Texas","48",,,,"0000923127","0000059932","Orange County","A","+30125520","-093894312","06",950,2389,2454,1267,1294,4077,2776,2774,1220,1203,1293,1304,1294,1230,1062,1016,2855,5912,6689,6189,5590,4811,4371,3850,1567,2332,3227,2320,1646,941,606
"G4803630","1990","TX",,,,,,,,,,,,"99","Palo Pinto","363",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002468237","0000084358","Palo Pinto County","A","+32747826","-098305804","06",311,774,742,375,394,1127,750,721,345,363,373,335,345,308,283,290,857,1768,1854,1688,1586,1383,1224,1298,503,794,1302,1038,883,598,443
"G4803650","1990","TX",,,,,,,,,,,,"99","Panola","365",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002074527","0000052886","Panola County","A","+32162806","-094306867","06",267,617,642,314,335,1105,770,730,373,361,287,338,350,364,299,254,656,1421,1650,1638,1423,1207,1065,1082,399,605,1008,891,757,463,364
"G4803670","1990","TX",,,,,,,,,,,,"31","Parker","367",,,"7","1922",,,,"2800","3","Texas","48",,,,"0002340257","0000017027","Parker County","A","+32777999","-097805805","06",777,1962,2077,1012,989,3237,2204,1976,977,991,956,986,969,909,829,754,2149,4677,5496,5443,4966,4265,3392,3011,1098,1588,2426,1795,1394,846,634
"G4803690","1990","TX",,,,,,,,,,,,"99","Parmer","369",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002283664","0000009080","Parmer County","A","+34528179","-102779388","06",153,368,376,184,175,614,368,353,149,184,176,162,160,121,119,98,384,724,748,683,570,507,479,418,156,203,365,306,245,177,138
"G4803710","1990","TX",,,,,,,,,,,,"99","Pecos","371",,,"7","9999",,,,"9999","3","Texas","48",,,,"0012338848","0000002780","Pecos County","A","+30781391","-102723149","06",206,539,525,261,281,932,627,576,249,269,303,298,233,197,190,189,537,1003,1074,1037,871,793,690,716,266,367,477,378,276,195,120
"G4803730","1990","TX",,,,,,,,,,,,"99","Polk","373",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002738565","0000136092","Polk County","A","+30797514","-094830439","06",345,769,853,399,426,1259,926,855,421,448,443,460,399,341,315,282,890,1828,1913,1851,1749,1688,1522,1812,822,1390,2146,1665,1237,725,508
"G4803750","1990","TX",,,,,,,,,,,,"99","Potter","375",,,"7","0320",,,,"9999","3","Texas","48",,,,"0002355462","0000032661","Potter County","A","+35397205","-101894774","06",1580,3637,3525,1690,1627,4837,3053,2903,1302,1340,1312,1334,1482,1519,1444,1363,4338,8399,8442,7181,5697,4480,4160,4120,1700,2603,3853,3146,2527,1854,1426
"G4803770","1990","TX",,,,,,,,,,,,"99","Presidio","377",,,"7","9999",,,,"9999","3","Texas","48",,,,"0009986502","0000001942","Presidio County","A","+29998304","-104229258","06",109,202,217,118,106,371,248,247,122,116,156,131,139,101,89,83,227,417,386,415,412,352,295,300,158,200,297,225,188,123,87
"G4803790","1990","TX",,,,,,,,,,,,"99","Rains","379",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000601057","0000069471","Rains County","A","+32869941","-095796204","06",64,159,171,89,92,324,216,206,85,93,105,80,101,100,54,63,182,405,508,404,467,381,359,381,153,259,404,327,238,146,99
"G4803810","1990","TX",,,,,,,,,,,,"99","Randall","381",,,"7","0320",,,,"9999","3","Texas","48",,,,"0002368458","0000020781","Randall County","A","+34968492","-101900395","06",1091,2678,2797,1351,1422,4476,3008,2705,1320,1251,1226,1179,1280,1548,1550,1342,3638,7246,8134,7832,6533,5012,4230,4139,1523,2259,3246,2317,1631,1015,694
"G4803830","1990","TX",,,,,,,,,,,,"99","Reagan","383",,,"7","9999",,,,"9999","3","Texas","48",,,,"0003044297","0000001768","Reagan County","A","+31358564","-101523572","06",78,186,187,97,96,326,203,203,89,87,85,79,77,57,40,55,170,367,387,386,288,195,155,141,55,85,125,79,62,33,41
"G4803850","1990","TX",,,,,,,,,,,,"99","Real","385",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001812891","0000000337","Real County","A","+29841002","-099806875","06",20,65,63,28,23,98,66,65,30,35,36,36,33,43,35,35,79,129,111,128,147,162,145,128,61,116,154,127,105,62,47
"G4803870","1990","TX",,,,,,,,,,,,"99","Red River","387",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002720133","0000019242","Red River County","A","+33618415","-095051014","06",137,356,343,189,172,590,420,399,208,197,212,220,216,217,162,162,447,864,916,904,825,776,722,691,340,507,838,748,640,471,428
"G4803890","1990","TX",,,,,,,,,,,,"99","Reeves","389",,,"7","9999",,,,"9999","3","Texas","48",,,,"0006827374","0000015735","Reeves County","A","+31321483","-103682964","06",271,555,574,334,325,930,582,593,295,284,287,285,288,194,218,206,672,1263,1240,1103,892,790,700,683,268,382,553,421,321,210,133
"G4803910","1990","TX",,,,,,,,,,,,"99","Refugio","391",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001995152","0000125322","Refugio County","A","+28320913","-097168737","06",97,225,198,120,110,408,271,264,110,143,119,129,146,110,101,88,239,509,589,491,553,430,433,392,158,247,398,318,267,195,118
"G4803930","1990","TX",,,,,,,,,,,,"99","Roberts","393",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002393548","0000000254","Roberts County","A","+35833390","-100806360","06",13,29,28,13,21,57,32,41,18,17,23,15,19,3,7,3,15,67,89,83,78,74,56,60,24,23,35,25,21,29,7
"G4803950","1990","TX",,,,,,,,,,,,"99","Robertson","395",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002213491","0000028758","Robertson County","A","+31027267","-096514023","06",245,516,498,267,272,720,538,477,212,236,240,215,213,202,190,192,540,1058,1093,988,822,728,685,708,301,504,834,689,607,380,341
"G4803970","1990","TX",,,,,,,,,,,,"31","Rockwall","397",,,"7","1922",,,,"1920","3","Texas","48",,,,"0000333580","0000051578","Rockwall County","A","+32892657","-096409279","06",294,840,819,445,429,1350,921,864,390,382,401,387,364,302,263,267,747,1901,2349,2343,2316,1871,1402,1093,405,483,684,468,382,231,211
"G4803990","1990","TX",,,,,,,,,,,,"99","Runnels","399",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002731167","0000007031","Runnels County","A","+31833126","-099968457","06",117,330,334,200,168,537,351,352,177,160,186,176,160,108,122,117,351,704,714,708,683,591,502,534,210,363,586,569,520,359,305
"G4804010","1990","TX",,,,,,,,,,,,"99","Rusk","401",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002392239","0000038997","Rusk County","A","+32105284","-094757408","06",531,1264,1247,710,696,2143,1472,1348,701,686,677,693,619,571,504,439,1320,2902,3357,3144,2863,2298,2004,1924,829,1259,2101,1802,1688,1046,897
"G4804030","1990","TX",,,,,,,,,,,,"99","Sabine","403",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001269872","0000223644","Sabine County","A","+31342577","-093850139","06",90,228,206,111,108,309,225,239,131,102,124,141,114,98,89,92,237,487,526,480,458,540,529,660,299,524,893,620,498,251,177
"G4804050","1990","TX",,,,,,,,,,,,"99","San Augustine","405",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001367296","0000166638","San Augustine County","A","+31397248","-094180302","06",78,228,213,106,113,352,219,253,89,94,107,101,111,92,69,80,271,503,483,405,426,420,405,438,210,346,503,443,404,238,199
"G4804070","1990","TX",,,,,,,,,,,,"99","San Jacinto","407",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001478128","0000148279","San Jacinto County","A","+30575046","-095162686","06",181,435,413,244,252,777,487,493,237,249,257,273,248,198,172,151,470,956,1157,1082,1055,970,949,983,412,710,914,686,504,273,184
"G4804090","1990","TX",,,,,,,,,,,,"99","San Patricio","409",,,"7","1880",,,,"9999","3","Texas","48",,,,"0001791678","0000039744","San Patricio County","A","+28005082","-097522009","06",795,2019,2013,1081,1130,3428,2231,2129,1022,1016,1007,1121,1024,929,864,786,2140,4111,4503,4338,3994,3281,2643,2568,958,1521,2144,1471,1177,769,536
"G4804110","1990","TX",,,,,,,,,,,,"99","San Saba","411",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002938480","0000009795","San Saba County","A","+31155153","-098814685","06",49,160,149,78,77,282,147,151,73,73,85,76,79,48,38,67,157,309,312,354,299,286,251,254,119,178,294,293,303,196,164
"G4804130","1990","TX",,,,,,,,,,,,"99","Schleicher","413",,,"7","9999",,,,"9999","3","Texas","48",,,,"0003394708","0000000112","Schleicher County","A","+30899605","-100538965","06",27,104,106,62,58,156,113,128,67,59,46,47,33,30,31,24,65,186,225,220,199,131,137,136,57,82,128,109,103,66,55
"G4804150","1990","TX",,,,,,,,,,,,"99","Scurry","415",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002337666","0000013041","Scurry County","A","+32745829","-100916695","06",222,569,554,344,301,1004,655,542,311,285,258,270,305,321,247,192,615,1465,1642,1502,1153,862,826,832,354,529,697,619,517,378,263
"G4804170","1990","TX",,,,,,,,,,,,"99","Shackelford","417",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002367332","0000004107","Shackelford County","A","+32730322","-099354834","06",41,78,89,58,53,163,104,100,47,56,44,55,47,33,28,28,63,211,256,226,210,149,156,170,76,95,156,162,159,109,94
"G4804190","1990","TX",,,,,,,,,,,,"99","Shelby","419",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002056976","0000104645","Shelby County","A","+31791634","-094141742","06",262,672,628,301,317,945,674,636,336,336,327,331,316,303,257,253,749,1458,1490,1406,1243,1198,1052,1108,449,735,1211,1046,925,595,475
"G4804210","1990","TX",,,,,,,,,,,,"99","Sherman","421",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002390834","0000000423","Sherman County","A","+36280020","-101893135","06",40,92,83,44,46,147,86,103,49,61,49,36,47,29,30,33,77,200,201,201,197,184,137,142,49,106,123,101,72,54,39
"G4804230","1990","TX",,,,,,,,,,,,"99","Smith","423",,,"7","8640",,,,"9999","3","Texas","48",,,,"0002404799","0000054528","Smith County","A","+32375250","-095271428","06",1829,4668,4631,2337,2314,6940,4628,4263,2198,2085,2097,2293,2346,2663,2358,2090,6003,11903,12334,11605,10150,8212,6964,6731,2760,4074,6631,5231,4158,2711,2102
"G4804250","1990","TX",,,,,,,,,,,,"99","Somervell","425",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000484802","0000012253","Somervell County","A","+32221652","-097771429","06",79,192,177,112,97,277,210,220,86,89,99,79,70,74,66,56,174,378,418,455,389,300,224,201,91,106,193,149,120,85,94
"G4804270","1990","TX",,,,,,,,,,,,"99","Starr","427",,,"7","9999",,,,"9999","3","Texas","48",,,,"0003167898","0000016201","Starr County","A","+26574537","-098733280","06",744,1649,1626,868,817,2738,1806,1825,990,1008,967,927,868,755,781,671,1937,3037,2864,2567,2192,1913,1578,1315,479,738,973,732,558,349,246
"G4804290","1990","TX",,,,,,,,,,,,"99","Stephens","429",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002317302","0000069502","Stephens County","A","+32738118","-098839489","06",93,276,247,152,131,471,291,281,139,137,124,118,131,98,66,87,234,557,620,613,541,506,419,448,204,294,518,421,341,251,201
"G4804310","1990","TX",,,,,,,,,,,,"99","Sterling","431",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002391731","0000000342","Sterling County","A","+31824140","-101045062","06",15,54,57,28,29,99,59,52,27,21,20,22,14,11,16,14,39,135,138,99,82,58,61,57,17,37,57,45,31,17,27
"G4804330","1990","TX",,,,,,,,,,,,"99","Stonewall","433",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002379551","0000004047","Stonewall County","A","+33177940","-100252273","06",38,55,44,26,30,99,57,57,24,27,25,30,28,17,16,17,55,142,148,119,98,99,116,104,51,74,95,97,95,78,52
"G4804350","1990","TX",,,,,,,,,,,,"99","Sutton","435",,,"7","9999",,,,"9999","3","Texas","48",,,,"0003765561","0000001639","Sutton County","A","+30495859","-100541264","06",52,139,127,69,64,210,155,140,71,78,71,93,71,58,53,53,131,275,331,339,307,238,204,189,66,118,149,115,66,49,54
"G4804370","1990","TX",,,,,,,,,,,,"99","Swisher","437",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002332281","0000000643","Swisher County","A","+34529503","-101731838","06",111,296,269,159,136,441,274,284,128,117,118,125,119,85,93,87,251,529,533,531,434,407,383,400,207,260,389,368,294,175,130
"G4804390","1990","TX",,,,,,,,,,,,"31","Tarrant","439",,,"7","1922",,,,"2800","3","Texas","48",,,,"0002236492","0000088175","Tarrant County","A","+32770451","-097293284","06",17685,42398,39952,19341,18655,54620,33701,30868,14729,15065,15146,15361,15887,17847,18717,18332,59570,125541,119649,98980,84768,65211,49458,43085,15712,22401,34307,24432,17785,11746,9154
"G4804410","1990","TX",,,,,,,,,,,,"99","Taylor","441",,,"7","0040",,,,"9999","3","Texas","48",,,,"0002371673","0000009419","Taylor County","A","+32311387","-099880794","06",1698,4156,3955,1998,1954,5755,3531,3322,1550,1621,1538,1524,1959,2853,2633,2382,6186,10733,9928,8801,7168,5648,4937,4963,1816,2658,4414,3505,2785,1966,1718
"G4804430","1990","TX",,,,,,,,,,,,"99","Terrell","443",,,"7","9999",,,,"9999","3","Texas","48",,,,"0006106979","0000000085","Terrell County","A","+30226009","-102066907","06",15,27,48,20,20,67,58,58,29,33,21,21,18,14,7,9,29,97,91,93,106,84,91,78,40,36,59,54,38,31,18
"G4804450","1990","TX",,,,,,,,,,,,"99","Terry","445",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002304832","0000002742","Terry County","A","+33171110","-102338855","06",202,449,485,259,265,774,552,479,231,220,220,238,224,195,151,132,417,868,959,835,755,690,600,643,236,340,569,441,375,247,167
"G4804470","1990","TX",,,,,,,,,,,,"99","Throckmorton","447",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002363144","0000008111","Throckmorton County","A","+33183624","-099214984","06",21,51,51,22,25,78,44,61,27,19,20,26,20,20,14,17,41,134,123,118,109,100,111,89,52,63,112,97,89,59,67
"G4804490","1990","TX",,,,,,,,,,,,"99","Titus","449",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001063398","0000039219","Titus County","A","+33217645","-094968314","06",380,825,805,375,389,1159,721,750,354,362,363,369,359,357,339,294,992,1833,1804,1687,1524,1184,1070,999,387,593,1015,951,790,566,413
"G4804510","1990","TX",,,,,,,,,,,,"99","Tom Green","451",,,"7","7200",,,,"9999","3","Texas","48",,,,"0003942488","0000047751","Tom Green County","A","+31409637","-100457118","06",1267,3201,3175,1559,1667,4874,2950,2752,1296,1304,1294,1279,1746,2314,2148,1792,4689,8065,8035,7565,6085,4778,4108,4034,1603,2345,3813,3087,2502,1765,1366
"G4804530","1990","TX",,,,,,,,,,,,"99","Travis","453",,,"7","0640",,,,"9999","3","Texas","48",,,,"0002562566","0000084904","Travis County","A","+30333300","-097779406","06",7888,18669,17556,8532,8191,23724,14621,13025,6338,6499,6447,6721,9287,14405,15178,14249,38098,65891,62303,53598,40829,27944,20654,17981,6718,9200,14410,10399,7812,5103,4137
"G4804550","1990","TX",,,,,,,,,,,,"99","Trinity","455",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001794577","0000054802","Trinity County","A","+31093348","-095124857","06",124,308,278,146,146,473,332,301,126,142,159,145,142,126,112,104,317,726,718,652,629,605,607,673,318,535,837,641,494,308,221
"G4804570","1990","TX",,,,,,,,,,,,"99","Tyler","457",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002390504","0000033153","Tyler County","A","+30768905","-094379095","06",169,410,398,222,232,707,490,525,259,255,241,245,224,191,158,167,460,942,1075,994,974,984,909,920,443,689,1055,951,628,435,294
"G4804590","1990","TX",,,,,,,,,,,,"99","Upshur","459",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001522209","0000012946","Upshur County","A","+32734950","-094941393","06",383,901,958,484,467,1512,1092,1026,485,441,470,447,539,505,459,403,1028,2072,2421,2278,1992,1836,1565,1529,578,918,1399,1090,983,628,481
"G4804610","1990","TX",,,,,,,,,,,,"99","Upton","461",,,"7","9999",,,,"9999","3","Texas","48",,,,"0003216182","0000000410","Upton County","A","+31364072","-102042245","06",58,157,173,99,89,302,180,189,93,85,92,71,62,50,44,45,141,307,379,335,292,212,210,196,62,105,142,98,86,55,38
"G4804630","1990","TX",,,,,,,,,,,,"99","Uvalde","463",,,"7","9999",,,,"9999","3","Texas","48",,,,"0004031719","0000005328","Uvalde County","A","+29350099","-099760754","06",357,844,804,404,407,1281,876,818,440,421,407,433,419,523,435,321,924,1600,1616,1459,1441,1192,1000,1018,383,601,918,651,589,434,324
"G4804650","1990","TX",,,,,,,,,,,,"99","Val Verde","465",,,"7","9999",,,,"9999","3","Texas","48",,,,"0008212044","0000160640","Val Verde County","A","+29894131","-101151496","06",694,1445,1426,720,668,2081,1418,1375,679,724,733,793,754,624,622,547,2134,3440,2618,2400,2340,1940,1754,1545,642,862,1375,952,676,444,296
"G4804670","1990","TX",,,,,,,,,,,,"99","Van Zandt","467",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002198422","0000027834","Van Zandt County","A","+32557969","-095835238","06",420,979,1038,568,527,1686,1084,1128,601,538,585,567,548,454,435,384,1099,2309,2548,2534,2547,2152,2179,2051,893,1313,2103,1690,1426,921,637
"G4804690","1990","TX",,,,,,,,,,,,"99","Victoria","469",,,"7","8750",,,,"9999","3","Texas","48",,,,"0002285897","0000016129","Victoria County","A","+28796000","-096970943","06",1095,2527,2519,1349,1336,4064,2603,2427,1228,1131,1123,1135,1135,1068,1016,871,2784,5743,6476,5906,5252,4061,3256,3108,1214,1816,2794,1995,1599,1033,697
"G4804710","1990","TX",,,,,,,,,,,,"99","Walker","471",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002039670","0000036228","Walker County","A","+30737951","-095573906","06",474,1135,1105,562,554,1610,1090,1014,477,495,501,669,1081,1855,1844,1751,3802,5096,5209,4491,3655,2600,1940,1760,665,987,1481,1101,862,561,490
"G4804730","1990","TX",,,,,,,,,,,,"42","Waller","473",,,"7","3362",,,,"3360","3","Texas","48",,,,"0001330287","0000012612","Waller County","A","+30013363","-095981994","06",276,646,650,317,330,1094,699,682,332,291,308,305,723,1073,917,707,1345,1543,1629,1599,1394,1194,1000,913,367,494,777,639,508,371,267
"G4804750","1990","TX",,,,,,,,,,,,"99","Ward","475",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002164084","0000000652","Ward County","A","+31510529","-103101512","06",185,445,418,211,269,792,503,459,246,289,288,241,215,174,155,143,483,930,1051,955,863,619,570,596,241,314,497,350,296,188,129
"G4804770","1990","TX",,,,,,,,,,,,"99","Washington","477",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001578029","0000031400","Washington County","A","+30213697","-096405463","06",298,744,769,392,381,1139,799,740,357,360,338,336,464,739,510,349,862,1867,1954,1893,1534,1276,1032,1171,550,774,1211,1111,937,651,616
"G4804790","1990","TX",,,,,,,,,,,,"99","Webb","479",,,"7","4080",,,,"9999","3","Texas","48",,,,"0008694635","0000048437","Webb County","A","+27770428","-099327204","06",2505,5606,5410,2717,2589,8213,5335,5354,2788,2811,2805,2744,2666,2635,2559,2230,6536,10884,10434,8926,7551,5971,4818,4369,1756,2534,3685,2424,1978,1355,1051
"G4804810","1990","TX",,,,,,,,,,,,"99","Wharton","481",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002823644","0000011141","Wharton County","A","+29277302","-096216514","06",573,1215,1352,731,742,2164,1388,1387,598,604,608,580,634,583,577,463,1350,2786,3128,2965,2463,2014,1808,1724,730,1033,1673,1371,1192,879,640
"G4804830","1990","TX",,,,,,,,,,,,"99","Wheeler","483",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002367963","0000002895","Wheeler County","A","+35397156","-100267035","06",65,141,144,84,90,294,199,206,92,100,72,80,81,41,43,39,146,307,420,410,319,332,297,301,124,171,261,313,292,215,200
"G4804850","1990","TX",,,,,,,,,,,,"99","Wichita","485",,,"7","9080",,,,"9999","3","Texas","48",,,,"0001625734","0000013847","Wichita County","A","+33990204","-098707740","06",1647,3901,3800,1940,1858,5736,3537,3237,1602,1572,1554,1595,2383,2885,2215,1887,5632,10619,10592,8945,7265,5950,5480,5684,2065,3197,4958,3671,2995,2126,1850
"G4804870","1990","TX",,,,,,,,,,,,"99","Wilbarger","487",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002515223","0000018217","Wilbarger County","A","+34084244","-099241684","06",180,429,473,249,236,663,423,429,181,210,282,236,217,227,216,187,490,1057,1128,1025,893,812,654,653,302,431,717,670,649,450,352
"G4804890","1990","TX",,,,,,,,,,,,"99","Willacy","489",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001545495","0000485769","Willacy County","A","+26493711","-097598146","06",247,657,667,306,329,1148,790,768,393,418,381,370,319,274,266,256,641,1257,1215,1144,939,807,656,733,268,480,684,469,392,249,182
"G4804910","1990","TX",,,,,,,,,,,,"99","Williamson","491",,,"7","0640",,,,"9999","3","Texas","48",,,,"0002912130","0000031404","Williamson County","A","+30644320","-097598344","06",2038,5128,5081,2556,2529,7627,4932,4562,2213,2250,2167,2106,2010,2083,1999,1803,5324,13123,14222,13276,11029,7839,5240,4262,1450,2071,3228,2534,2203,1476,1190
"G4804930","1990","TX",,,,,,,,,,,,"99","Wilson","493",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002090603","0000003778","Wilson County","A","+29174034","-098085622","06",285,769,760,411,439,1233,873,717,390,353,380,403,334,261,281,269,806,1666,1760,1737,1522,1225,1014,970,385,539,889,680,634,377,288
"G4804950","1990","TX",,,,,,,,,,,,"99","Winkler","495",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002178451","0000000502","Winkler County","A","+31859680","-103047453","06",140,247,324,147,184,521,317,350,176,163,155,145,110,105,99,76,284,617,713,611,460,397,394,410,167,213,374,265,237,139,86
"G4804970","1990","TX",,,,,,,,,,,,"99","Wise","497",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002343085","0000047060","Wise County","A","+33215455","-097652699","06",417,1069,1166,545,538,1711,1129,1070,533,521,577,534,488,457,445,377,1171,2551,2929,2676,2460,2148,1796,1608,570,854,1333,1113,863,592,438
"G4804990","1990","TX",,,,,,,,,,,,"99","Wood","499",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001684260","0000118042","Wood County","A","+32781919","-095381557","06",268,704,739,386,394,1283,878,795,412,381,395,428,399,373,367,342,831,1707,1905,1860,1769,1660,1476,1625,701,1125,1904,1526,1272,838,637
"G4805010","1990","TX",,,,,,,,,,,,"99","Yoakum","501",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002071433","0000000034","Yoakum County","A","+33175036","-102824205","06",129,309,320,185,180,579,394,323,178,170,153,141,154,87,82,97,302,766,757,660,558,458,394,335,137,174,257,180,181,78,68
"G4805030","1990","TX",,,,,,,,,,,,"99","Young","503",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002388988","0000022048","Young County","A","+33177251","-098698171","06",214,564,525,274,268,897,534,533,247,265,256,247,205,206,175,147,509,1216,1426,1288,1120,988,820,934,384,569,881,775,741,507,411
"G4805050","1990","TX",,,,,,,,,,,,"99","Zapata","505",,,"7","9999",,,,"9999","3","Texas","48",,,,"0002581820","0000158861","Zapata County","A","+26999964","-099183083","06",154,365,360,180,171,559,352,359,208,187,196,137,159,135,132,141,349,624,601,580,502,396,335,333,141,237,438,399,291,178,80
"G4805070","1990","TX",,,,,,,,,,,,"99","Zavala","507",,,"7","9999",,,,"9999","3","Texas","48",,,,"0003363319","0000008387","Zavala County","A","+28864352","-099759662","06",213,499,457,226,204,718,485,465,277,273,250,280,253,242,206,161,544,919,839,797,675,509,486,422,193,269,440,309,274,193,84
"G4900010","1990","UT",,,,,,,,,,,,"99","Beaver","001",,,"8","9999",,,,"9999","4","Utah","49",,,,"0006708405","0000005997","Beaver County","A","+38340778","-113228751","06",67,151,164,99,98,330,227,212,107,94,101,80,74,46,34,43,109,227,311,314,257,225,172,218,101,129,220,215,146,119,75
"G4900030","1990","UT",,,,,,,,,,,,"99","Box Elder","003",,,"8","9999",,,,"9999","4","Utah","49",,,,"0014824344","0002604927","Box Elder County","A","+41514922","-113097137","06",627,1546,1618,855,936,2805,1851,1756,817,705,662,629,489,387,343,371,1002,2520,2860,2427,1841,1567,1557,1497,521,723,1121,897,725,496,334
